Date,Energy.Price
10/02/2018,54.03
11/02/2018,55.89
12/02/2018,50.04
13/02/2018,63.71
14/02/2018,47.04
15/02/2018,46.92
16/02/2018,64.33
17/02/2018,64.96
18/02/2018,59.73
19/02/2018,62.67
20/02/2018,55.24
21/02/2018,46.72
22/02/2018,50.7
23/02/2018,54.45
24/02/2018,65.55
25/02/2018,66.58
26/02/2018,56.06
27/02/2018,62.42
28/02/2018,65.97
01/03/2018,55.14
02/03/2018,43.09
03/03/2018,49.61
04/03/2018,56.62
05/03/2018,46.64
06/03/2018,46.63
07/03/2018,47.82
08/03/2018,47.54
09/03/2018,51.61
10/03/2018,40.71
11/03/2018,16.97
12/03/2018,33.19
13/03/2018,52.89
14/03/2018,49.61
15/03/2018,32.54
16/03/2018,53.24
17/03/2018,50.05
18/03/2018,55.41
19/03/2018,52.01
20/03/2018,41.89
21/03/2018,46.12
22/03/2018,57.7
23/03/2018,48.9
24/03/2018,37.4
25/03/2018,53.54
26/03/2018,52.44
27/03/2018,48.52
28/03/2018,47.64
29/03/2018,41.58
30/03/2018,17.59
31/03/2018,13.63
01/04/2018,47.79
02/04/2018,39.75
03/04/2018,34.64
04/04/2018,34.49
05/04/2018,54.51
06/04/2018,44.56
07/04/2018,49.27
08/04/2018,52.12
09/04/2018,50.79
10/04/2018,45.37
11/04/2018,45.27
12/04/2018,42.14
13/04/2018,64.34
14/04/2018,61.76
15/04/2018,47.06
16/04/2018,53.22
17/04/2018,51.22
18/04/2018,60.2
19/04/2018,53.52
20/04/2018,43.03
21/04/2018,48.71
22/04/2018,51.78
23/04/2018,58.76
24/04/2018,51.46
25/04/2018,51.39
26/04/2018,43.33
27/04/2018,59.12
28/04/2018,49.67
29/04/2018,54.06
30/04/2018,43.15
01/05/2018,53.63
02/05/2018,48.51
03/05/2018,50.91
04/05/2018,42.49
05/05/2018,52.42
06/05/2018,55.5
07/05/2018,61.76
08/05/2018,63.9
09/05/2018,61.91
10/05/2018,51.99
11/05/2018,67.3
12/05/2018,65.87
13/05/2018,44.2
14/05/2018,63.05
15/05/2018,57.72
16/05/2018,54.55
17/05/2018,55.07
18/05/2018,61.73
19/05/2018,67.69
20/05/2018,67.23
21/05/2018,65.92
22/05/2018,69.9
23/05/2018,69.46
24/05/2018,71.53
25/05/2018,70.03
26/05/2018,70.15
27/05/2018,70.56
28/05/2018,68.05
29/05/2018,71.18
30/05/2018,70.74
31/05/2018,69.73
01/06/2018,71.12
02/06/2018,66.27
03/06/2018,69.95
04/06/2018,61.19
05/06/2018,57.98
06/06/2018,66.59
07/06/2018,65.51
08/06/2018,66.88
09/06/2018,66.32
10/06/2018,63.47
11/06/2018,61.86
12/06/2018,60.91
13/06/2018,55.61
14/06/2018,61.8
15/06/2018,60.91
16/06/2018,56.72
17/06/2018,53.46
18/06/2018,61.27
19/06/2018,56.14
20/06/2018,64.67
21/06/2018,64.33
